/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL037_Suna_EyeTracking_Walk2_Render.mov,86,fixation,1261,41920.000000,42320.000000,400.000000,41718.333333,00:00:42.08700,213.710000,305.240000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,87,fixation,1286,42921.666667,43021.666667,100.000000,42553.333333,00:00:42.92200,187.490000,458.200000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,88,fixation,1296,43188.333333,43388.333333,200.000000,42886.666667,00:00:43.25500,164.900000,373.190000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,89,fixation,1313,43488.333333,44256.666667,768.333333,43453.333333,00:00:43.82200,148.030000,281.940000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,90,fixation,1331,44290.000000,44623.333333,333.333333,44055.000000,00:00:44.42300,188.210000,371.900000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,91,fixation,1346,44923.333333,45023.333333,100.000000,44555.000000,00:00:44.92300,211.640000,387.570000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,92,fixation,1360,45323.333333,45525.000000,201.666667,45021.666667,00:00:45.39000,206.110000,421.380000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,93,fixation,1368,45625.000000,45758.333333,133.333333,45290.000000,00:00:45.65800,184.370000,362.480000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,94,fixation,1374,45825.000000,45958.333333,133.333333,45490.000000,00:00:45.85800,205.400000,402.820000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,95,fixation,1383,46125.000000,46258.333333,133.333333,45790.000000,00:00:46.15800,200.280000,324.450000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,96,fixation,1390,46358.333333,46491.666667,133.333333,46023.333333,00:00:46.39200,193.050000,399.730000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,97,fixation,1397,46558.333333,46793.333333,235.000000,46256.666667,00:00:46.62500,212.850000,335.060000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,98,fixation,1404,46826.666667,46993.333333,166.666667,46491.666667,00:00:46.86000,226.150000,383.140000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,99,fixation,1416,47226.666667,47360.000000,133.333333,46891.666667,00:00:47.26000,233.600000,258.810000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,100,fixation,1430,47726.666667,47826.666667,100.000000,47358.333333,00:00:47.72700,181.080000,196.760000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,101,fixation,1440,47993.333333,48195.000000,201.666667,47691.666667,00:00:48.06000,150.060000,215.120000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,102,fixation,1444,48195.000000,48295.000000,100.000000,47826.666667,00:00:48.19500,122.110000,349.060000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,103,fixation,1448,48295.000000,48428.333333,133.333333,47960.000000,00:00:48.32800,187.040000,419.360000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,104,fixation,1454,48428.333333,48695.000000,266.666667,48160.000000,00:00:48.52800,155.340000,422.590000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,105,fixation,1479,49261.666667,49563.333333,301.666667,48993.333333,00:00:49.36200,233.020000,287.990000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,106,fixation,1490,49696.666667,49830.000000,133.333333,49361.666667,00:00:49.73000,212.150000,398.330000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,107,fixation,1502,49996.666667,50330.000000,333.333333,49761.666667,00:00:50.13000,186.360000,333.720000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,108,fixation,1517,50463.333333,50898.333333,435.000000,50261.666667,00:00:50.63000,182.690000,437.520000,-1000.000000,-1000.000000,,,
