/Users/pslive1/Documents/Walk_Projext/BDL064_Kermit_EyeTracking_Walk/BDL064_Kermit_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL064_Kermit_EyeTracking_Walk.mov,47,fixation,1573,52400.000000,52666.666667,266.666667,52131.666667,00:00:52.50000,173.090000,259.950000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,48,fixation,1580,52666.666667,52866.666667,200.000000,52365.000000,00:00:52.73300,144.360000,225.510000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,49,fixation,1606,53400.000000,53901.666667,501.666667,53233.333333,00:00:53.60200,102.380000,211.590000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,50,fixation,1627,54268.333333,54401.666667,133.333333,53933.333333,00:00:54.30200,377.080000,71.540000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,51,fixation,1644,54836.666667,54970.000000,133.333333,54501.666667,00:00:54.87000,227.490000,161.250000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,52,fixation,1653,55136.666667,55270.000000,133.333333,54801.666667,00:00:55.17000,229.520000,107.730000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,53,fixation,1660,55303.333333,55570.000000,266.666667,55035.000000,00:00:55.40300,210.020000,139.240000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,54,fixation,1667,55570.000000,55770.000000,200.000000,55268.333333,00:00:55.63700,202.950000,149.650000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,55,fixation,1674,55770.000000,56036.666667,266.666667,55501.666667,00:00:55.87000,180.020000,143.090000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,56,fixation,1719,56036.666667,58775.000000,2738.333333,57003.333333,00:00:57.37200,207.250000,145.040000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,57,fixation,1774,58775.000000,59741.666667,966.666667,58840.000000,00:00:59.20800,254.290000,234.090000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,58,fixation,1794,59808.333333,60041.666667,233.333333,59506.666667,00:00:59.87500,296.750000,133.410000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,59,fixation,1918,60110.000000,68018.333333,7908.333333,63645.000000,00:01:04.01300,213.630000,179.880000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,60,fixation,2054,68386.666667,68786.666667,400.000000,68185.000000,00:01:08.55300,182.880000,452.940000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,61,fixation,2075,69020.000000,69555.000000,535.000000,68885.000000,00:01:09.25300,202.230000,299.440000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,62,fixation,2088,69588.333333,69855.000000,266.666667,69320.000000,00:01:09.68800,267.880000,230.030000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,63,fixation,2095,69888.333333,70021.666667,133.333333,69553.333333,00:01:09.92200,257.980000,303.080000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,64,fixation,2108,70055.000000,70721.666667,666.666667,69986.666667,00:01:10.35500,248.000000,260.000000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,65,fixation,2124,70856.666667,71023.333333,166.666667,70521.666667,00:01:10.89000,209.170000,109.460000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,66,fixation,2134,71156.666667,71356.666667,200.000000,70855.000000,00:01:11.22300,194.180000,246.510000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,67,fixation,2145,71523.333333,71723.333333,200.000000,71221.666667,00:01:11.59000,235.320000,143.750000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,68,fixation,2170,71823.333333,73091.666667,1268.333333,72056.666667,00:01:12.42500,162.750000,153.460000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,69,fixation,2198,73358.333333,73460.000000,101.666667,72990.000000,00:01:13.35800,372.540000,78.540000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,70,fixation,2203,73460.000000,73693.333333,233.333333,73158.333333,00:01:13.52700,351.590000,52.030000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,71,fixation,2219,73793.333333,74393.333333,600.000000,73691.666667,00:01:14.06000,276.490000,104.630000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,72,fixation,2232,74426.666667,74626.666667,200.000000,74125.000000,00:01:14.49300,310.810000,129.160000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,73,fixation,2243,74795.000000,74995.000000,200.000000,74493.333333,00:01:14.86200,270.420000,231.130000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,74,fixation,2294,75128.333333,78065.000000,2936.666667,76195.000000,00:01:16.56300,306.500000,149.620000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,75,fixation,2376,79033.333333,79666.666667,633.333333,78931.666667,00:01:19.30000,298.990000,104.340000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,76,fixation,2474,79666.666667,85541.666667,5875.000000,82201.666667,00:01:22.57000,239.860000,87.020000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,77,fixation,2578,86041.666667,86141.666667,100.000000,85673.333333,00:01:26.04200,162.800000,301.510000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,78,fixation,2590,86341.666667,86641.666667,300.000000,86073.333333,00:01:26.44200,159.260000,441.620000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,79,fixation,2606,86708.333333,87343.333333,635.000000,86608.333333,00:01:26.97700,170.510000,348.850000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,80,fixation,2622,87443.333333,87676.666667,233.333333,87141.666667,00:01:27.51000,194.660000,293.530000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,81,fixation,2630,87776.666667,87876.666667,100.000000,87408.333333,00:01:27.77700,229.240000,345.100000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,82,fixation,2638,87910.000000,88278.333333,368.333333,87675.000000,00:01:28.04300,257.330000,324.370000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,83,fixation,2655,88511.666667,88811.666667,300.000000,88243.333333,00:01:28.61200,264.060000,193.260000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,84,fixation,2667,88845.000000,89245.000000,400.000000,88643.333333,00:01:29.01200,295.460000,125.890000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,85,fixation,2684,89546.666667,89680.000000,133.333333,89211.666667,00:01:29.58000,362.900000,53.660000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,86,fixation,2693,89846.666667,90013.333333,166.666667,89511.666667,00:01:29.88000,307.370000,146.870000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,87,fixation,2702,90180.000000,90280.000000,100.000000,89811.666667,00:01:30.18000,378.660000,127.810000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,88,fixation,2709,90380.000000,90513.333333,133.333333,90045.000000,00:01:30.41300,375.820000,94.310000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,89,fixation,2723,90881.666667,90981.666667,100.000000,90513.333333,00:01:30.88200,399.960000,49.500000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,90,fixation,2728,91048.333333,91148.333333,100.000000,90680.000000,00:01:31.04800,431.750000,86.540000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,91,fixation,2734,91181.666667,91415.000000,233.333333,90880.000000,00:01:31.24800,422.010000,157.730000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,92,fixation,2741,91415.000000,91615.000000,200.000000,91113.333333,00:01:31.48200,424.880000,130.710000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,93,fixation,2766,92216.666667,92483.333333,266.666667,91948.333333,00:01:32.31700,164.260000,392.660000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,94,fixation,2788,93050.000000,93150.000000,100.000000,92681.666667,00:01:33.05000,282.940000,174.430000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,95,fixation,2802,93416.666667,93718.333333,301.666667,93150.000000,00:01:33.51800,196.010000,399.530000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,96,fixation,2817,93718.333333,94385.000000,666.666667,93650.000000,00:01:34.01800,219.920000,382.150000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,97,fixation,2829,94418.333333,94518.333333,100.000000,94050.000000,00:01:34.41800,199.410000,365.120000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,98,fixation,2843,94785.000000,95053.333333,268.333333,94518.333333,00:01:34.88700,116.210000,322.790000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,99,fixation,2852,95120.000000,95320.000000,200.000000,94818.333333,00:01:35.18700,192.990000,236.830000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,100,fixation,2865,95553.333333,95786.666667,233.333333,95251.666667,00:01:35.62000,255.470000,75.150000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,101,fixation,2882,96120.000000,96355.000000,235.000000,95820.000000,00:01:36.18800,196.180000,258.410000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,102,fixation,2888,96355.000000,96521.666667,166.666667,96020.000000,00:01:36.38800,195.690000,229.890000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,103,fixation,2904,96888.333333,97021.666667,133.333333,96553.333333,00:01:36.92200,348.900000,92.570000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,104,fixation,2909,97088.333333,97188.333333,100.000000,96720.000000,00:01:37.08800,322.140000,98.670000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,105,fixation,2920,97421.666667,97556.666667,135.000000,97086.666667,00:01:37.45500,275.940000,231.800000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,106,fixation,2935,97923.333333,98056.666667,133.333333,97588.333333,00:01:37.95700,339.590000,78.180000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,107,fixation,2965,98323.333333,99691.666667,1368.333333,98590.000000,00:01:38.95800,248.470000,100.880000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,108,fixation,2997,99758.333333,100393.333333,635.000000,99656.666667,00:01:40.02500,201.040000,171.360000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,109,fixation,3042,100393.333333,102728.333333,2335.000000,101160.000000,00:01:41.52800,234.270000,47.190000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,110,fixation,3088,102963.333333,103263.333333,300.000000,102695.000000,00:01:43.06300,227.820000,143.580000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,111,fixation,3104,103430.000000,103830.000000,400.000000,103228.333333,00:01:43.59700,149.070000,172.530000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,112,fixation,3112,103830.000000,103996.666667,166.666667,103495.000000,00:01:43.86300,137.360000,188.200000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,113,fixation,3118,104030.000000,104198.333333,168.333333,103695.000000,00:01:44.06300,148.930000,151.620000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,114,fixation,3122,104198.333333,104298.333333,100.000000,103830.000000,00:01:44.19800,155.450000,129.960000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,115,fixation,3127,104331.666667,104498.333333,166.666667,103996.666667,00:01:44.36500,141.100000,169.620000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,116,fixation,3133,104498.333333,104731.666667,233.333333,104196.666667,00:01:44.56500,144.280000,196.620000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,117,fixation,3144,104931.666667,105031.666667,100.000000,104563.333333,00:01:44.93200,113.490000,155.450000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,118,fixation,3148,105031.666667,105198.333333,166.666667,104696.666667,00:01:45.06500,94.900000,183.180000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,119,fixation,3155,105298.333333,105398.333333,100.000000,104930.000000,00:01:45.29800,95.880000,148.230000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,120,fixation,3163,105533.333333,105666.666667,133.333333,105198.333333,00:01:45.56700,85.370000,177.210000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,121,fixation,3181,106166.666667,106266.666667,100.000000,105798.333333,00:01:46.16700,134.280000,79.470000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,122,fixation,3185,106266.666667,106400.000000,133.333333,105931.666667,00:01:46.30000,108.500000,93.960000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,123,fixation,3200,106666.666667,107001.666667,335.000000,106431.666667,00:01:46.80000,91.690000,258.920000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,124,fixation,3210,107068.333333,107301.666667,233.333333,106766.666667,00:01:47.13500,105.740000,167.660000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,125,fixation,3225,107501.666667,107868.333333,366.666667,107266.666667,00:01:47.63500,128.700000,115.480000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,126,fixation,3235,107868.333333,108170.000000,301.666667,107600.000000,00:01:47.96800,138.140000,135.970000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,127,fixation,3242,108203.333333,108303.333333,100.000000,107835.000000,00:01:48.20300,189.920000,88.930000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,128,fixation,3254,108570.000000,108703.333333,133.333333,108235.000000,00:01:48.60300,84.960000,199.010000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,129,fixation,3261,108703.333333,109036.666667,333.333333,108468.333333,00:01:48.83700,105.670000,212.380000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,130,fixation,3276,109303.333333,109470.000000,166.666667,108968.333333,00:01:49.33700,275.640000,173.880000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,131,fixation,3291,109738.333333,110005.000000,266.666667,109470.000000,00:01:49.83800,308.460000,78.140000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,132,fixation,3299,110105.000000,110205.000000,100.000000,109736.666667,00:01:50.10500,260.110000,136.040000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,133,fixation,3308,110338.333333,110571.666667,233.333333,110036.666667,00:01:50.40500,231.470000,209.300000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,134,fixation,3314,110571.666667,110738.333333,166.666667,110236.666667,00:01:50.60500,272.080000,204.850000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,135,fixation,3322,110738.333333,111073.333333,335.000000,110505.000000,00:01:50.87300,301.830000,156.700000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,136,fixation,3332,111106.666667,111373.333333,266.666667,110838.333333,00:01:51.20700,324.260000,132.700000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,137,fixation,3350,111406.666667,112308.333333,901.666667,111438.333333,00:01:51.80700,323.440000,172.470000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,138,fixation,3388,112841.666667,113375.000000,533.333333,112706.666667,00:01:53.07500,240.910000,182.770000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,139,fixation,3419,113910.000000,114376.666667,466.666667,113741.666667,00:01:54.11000,285.690000,162.360000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,140,fixation,3432,114376.666667,114810.000000,433.333333,114175.000000,00:01:54.54300,232.900000,135.270000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,141,fixation,3440,114810.000000,114911.666667,101.666667,114441.666667,00:01:54.81000,249.120000,143.330000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,142,fixation,3458,115378.333333,115545.000000,166.666667,115043.333333,00:01:55.41200,182.320000,201.130000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,143,fixation,3465,115645.000000,115745.000000,100.000000,115276.666667,00:01:55.64500,202.430000,184.010000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,144,fixation,3477,116045.000000,116145.000000,100.000000,115676.666667,00:01:56.04500,275.600000,189.060000,-1000.000000,-1000.000000,,,
BDL064_Kermit_EyeTracking_Walk.mov,145,fixation,3482,116180.000000,116313.333333,133.333333,115845.000000,00:01:56.21300,263.210000,173.450000,-1000.000000,-1000.000000,,,
