/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL079_Daisy_Walk_RouteP1.mov,110,fixation,1606,53603.333333,53703.333333,100.000000,53568.333333,00:00:53.60300,201.680000,217.400000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,111,fixation,1610,53703.333333,53836.666667,133.333333,53701.666667,00:00:53.73700,224.420000,212.540000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,112,fixation,1615,53903.333333,54003.333333,100.000000,53868.333333,00:00:53.90300,197.090000,218.750000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,113,fixation,1638,54603.333333,54805.000000,201.666667,54635.000000,00:00:54.67000,268.590000,201.320000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,114,fixation,1644,54838.333333,54971.666667,133.333333,54836.666667,00:00:54.87200,260.790000,203.260000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,115,fixation,1649,55005.000000,55138.333333,133.333333,55003.333333,00:00:55.03800,260.630000,203.360000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,116,fixation,1654,55171.666667,55305.000000,133.333333,55170.000000,00:00:55.20500,264.500000,202.680000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,117,fixation,1665,55571.666667,55671.666667,100.000000,55536.666667,00:00:55.57200,236.190000,209.640000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,118,fixation,1676,55905.000000,56073.333333,168.333333,55903.333333,00:00:55.93800,292.480000,196.670000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,119,fixation,1719,57340.000000,57475.000000,135.000000,57340.000000,00:00:57.37500,217.850000,212.210000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,120,fixation,1727,57641.666667,57741.666667,100.000000,57606.666667,00:00:57.64200,322.980000,191.590000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,121,fixation,1731,57741.666667,57875.000000,133.333333,57740.000000,00:00:57.77500,310.770000,193.520000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,122,fixation,1734,57875.000000,57975.000000,100.000000,57840.000000,00:00:57.87500,285.240000,198.090000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,123,fixation,1747,58241.666667,58475.000000,233.333333,58273.333333,00:00:58.30800,82.500000,141.430000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,124,fixation,1761,58776.666667,58876.666667,100.000000,58741.666667,00:00:58.77700,140.750000,155.030000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,125,fixation,1780,59410.000000,59510.000000,100.000000,59375.000000,00:00:59.41000,111.130000,235.790000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,126,fixation,1809,60378.333333,60478.333333,100.000000,60343.333333,00:01:00.37800,100.120000,224.430000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,127,fixation,1817,60645.000000,60745.000000,100.000000,60610.000000,00:01:00.64500,258.760000,219.450000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,128,fixation,1825,60911.666667,61011.666667,100.000000,60876.666667,00:01:00.91200,244.900000,222.180000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,129,fixation,1867,62313.333333,62413.333333,100.000000,62278.333333,00:01:02.31300,237.720000,220.160000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,130,fixation,1876,62580.000000,62715.000000,135.000000,62580.000000,00:01:02.61500,210.190000,195.590000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,131,fixation,1890,63081.666667,63181.666667,100.000000,63046.666667,00:01:03.08200,198.600000,179.940000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,132,fixation,1896,63281.666667,63381.666667,100.000000,63246.666667,00:01:03.28200,210.250000,189.850000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,133,fixation,1899,63381.666667,63481.666667,100.000000,63346.666667,00:01:03.38200,230.650000,202.130000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,134,fixation,1951,65116.666667,65218.333333,101.666667,65081.666667,00:01:05.11700,419.180000,271.850000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,135,fixation,1958,65251.666667,65518.333333,266.666667,65316.666667,00:01:05.35200,235.220000,208.830000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,136,fixation,1973,65851.666667,65951.666667,100.000000,65816.666667,00:01:05.85200,225.840000,204.630000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,137,fixation,1987,66285.000000,66451.666667,166.666667,66283.333333,00:01:06.31800,301.240000,219.540000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,138,fixation,1993,66520.000000,66620.000000,100.000000,66485.000000,00:01:06.52000,298.890000,227.680000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,139,fixation,2011,67120.000000,67220.000000,100.000000,67085.000000,00:01:07.12000,235.230000,215.770000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,140,fixation,2045,68255.000000,68355.000000,100.000000,68220.000000,00:01:08.25500,391.360000,250.720000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,141,fixation,2064,68888.333333,68988.333333,100.000000,68853.333333,00:01:08.88800,215.810000,272.650000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,142,fixation,2070,69055.000000,69223.333333,168.333333,69053.333333,00:01:09.08800,219.720000,252.160000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,143,fixation,2076,69256.666667,69390.000000,133.333333,69255.000000,00:01:09.29000,215.460000,237.480000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,144,fixation,2084,69523.333333,69690.000000,166.666667,69521.666667,00:01:09.55700,255.800000,268.170000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,145,fixation,2088,69690.000000,69790.000000,100.000000,69655.000000,00:01:09.69000,288.580000,279.050000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,146,fixation,2280,76065.000000,76198.333333,133.333333,76063.333333,00:01:16.09800,173.880000,164.830000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,147,fixation,2306,76831.666667,77200.000000,368.333333,76931.666667,00:01:16.96700,248.870000,205.090000,-1000.000000,-1000.000000,,,
