/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut
BDL004_Goose_EyeTracking_Walk.mov,72,fixation,1116,37183.33333,37416.66667,233.333333,37181.66667,00:37.3,83.06,196.55,60,48,
BDL004_Goose_EyeTracking_Walk.mov,73,fixation,1137,37650,38318.33333,668.333333,37881.66667,00:38.0,212.55,328.01,63,51,
BDL004_Goose_EyeTracking_Walk.mov,74,fixation,1151,38385,38518.33333,133.333333,38350,00:38.4,162.48,272.82,47,24,
BDL004_Goose_EyeTracking_Walk.mov,75,fixation,1172,38518.33333,39820,1301.666667,39050,00:39.1,186.47,293.13,53,47,
BDL004_Goose_EyeTracking_Walk.mov,76,fixation,1197,39953.33333,40053.33333,100,39885,00:40.0,246.58,370.69,76,76,
BDL004_Goose_EyeTracking_Walk.mov,77,fixation,1202,40120,40220,100,40051.66667,00:40.1,193.93,383.71,68,80,
BDL004_Goose_EyeTracking_Walk.mov,78,fixation,1224,40788.33333,41021.66667,233.333333,40786.66667,00:40.9,351.35,349.13,53,43,
BDL004_Goose_EyeTracking_Walk.mov,79,fixation,1253,41421.66667,42323.33333,901.666667,41753.33333,00:41.8,230.37,237.6,50,59,
BDL004_Goose_EyeTracking_Walk.mov,80,fixation,1271,42423.33333,42523.33333,100,42355,00:42.4,288.26,324.02,81,83,
BDL004_Goose_EyeTracking_Walk.mov,81,fixation,1312,43791.66667,43891.66667,100,43723.33333,00:43.8,325.2,343.32,54,56,
BDL004_Goose_EyeTracking_Walk.mov,82,fixation,1339,44626.66667,44860,233.333333,44625,00:44.7,271.78,300.71,80,64,
BDL004_Goose_EyeTracking_Walk.mov,83,fixation,1350,44860,45326.66667,466.666667,44991.66667,00:45.1,279.97,300.9,72,72,
BDL004_Goose_EyeTracking_Walk.mov,84,fixation,1371,45760,45860,100,45691.66667,00:45.8,325.61,303.94,49,47,
BDL004_Goose_EyeTracking_Walk.mov,85,fixation,1376,45860,46061.66667,201.666667,45860,00:45.9,309.81,278.16,52,50,
BDL004_Goose_EyeTracking_Walk.mov,86,fixation,1389,46328.33333,46495,166.666667,46293.33333,00:46.4,353.74,346.53,47,49,
BDL004_Goose_EyeTracking_Walk.mov,87,fixation,1399,46695,46795,100,46626.66667,00:46.7,198.79,427.24,72,75,
BDL004_Goose_EyeTracking_Walk.mov,88,fixation,1417,47061.66667,47596.66667,535,47228.33333,00:47.3,274.04,354.09,68,68,
BDL004_Goose_EyeTracking_Walk.mov,89,fixation,1429,47663.33333,47830,166.666667,47628.33333,00:47.7,211.72,464.12,30,35,
BDL004_Goose_EyeTracking_Walk.mov,90,fixation,1446,47896.66667,48731.66667,835,48195,00:48.3,281.89,367.04,68,68,
BDL004_Goose_EyeTracking_Walk.mov,91,fixation,1462,48731.66667,48931.66667,200,48730,00:48.8,298.85,356.43,34,0,
BDL004_Goose_EyeTracking_Walk.mov,92,fixation,1469,48931.66667,49198.33333,266.666667,48963.33333,00:49.0,312.7,353.09,68,68,
BDL004_Goose_EyeTracking_Walk.mov,93,fixation,1476,49231.66667,49398.33333,166.666667,49196.66667,00:49.3,318.36,360.32,59,68,
BDL004_Goose_EyeTracking_Walk.mov,94,fixation,1482,49465,49565,100,49396.66667,00:49.5,271.97,364.23,68,68,
BDL004_Goose_EyeTracking_Walk.mov,95,fixation,1489,49700,49800,100,49631.66667,00:49.7,376.15,350.97,25,48,
BDL004_Goose_EyeTracking_Walk.mov,96,fixation,1493,49833.33333,49933.33333,100,49765,00:49.8,305.47,357.09,72,72,
BDL004_Goose_EyeTracking_Walk.mov,97,fixation,1518,50500,50900,400,50598.33333,00:50.7,273.96,372.99,59,68,
BDL004_Goose_EyeTracking_Walk.mov,98,fixation,1526,50900,51068.33333,168.333333,50865,00:50.9,226.17,367.78,22,68,
BDL004_Goose_EyeTracking_Walk.mov,99,fixation,1549,51535,51935,400,51633.33333,00:51.7,259.37,308.35,72,66,
BDL004_Goose_EyeTracking_Walk.mov,100,fixation,1560,52001.66667,52201.66667,200,52000,00:52.1,246.1,250.98,77,60,
BDL004_Goose_EyeTracking_Walk.mov,101,fixation,1564,52201.66667,52303.33333,101.666667,52133.33333,00:52.2,264.24,277.33,81,61,
BDL004_Goose_EyeTracking_Walk.mov,102,fixation,1568,52303.33333,52436.66667,133.333333,52268.33333,00:52.3,229.15,329.8,43,19,
BDL004_Goose_EyeTracking_Walk.mov,103,fixation,1576,52603.33333,52703.33333,100,52535,00:52.6,218.44,408.19,63,62,
BDL004_Goose_EyeTracking_Walk.mov,104,fixation,1582,52770,52903.33333,133.333333,52735,00:52.8,252.16,444.7,28,54,
BDL004_Goose_EyeTracking_Walk.mov,105,fixation,1597,53236.66667,53470,233.333333,53235,00:53.3,247.52,394.15,38,37,
BDL004_Goose_EyeTracking_Walk.mov,106,fixation,1604,53470,53671.66667,201.666667,53470,00:53.5,279.29,371.41,32,33,
BDL004_Goose_EyeTracking_Walk.mov,107,fixation,1609,53705,53805,100,53636.66667,00:53.7,395,383.83,38,19,
BDL004_Goose_EyeTracking_Walk.mov,108,fixation,1619,53971.66667,54171.66667,200,53970,00:54.0,212.44,422.42,104,104,
BDL004_Goose_EyeTracking_Walk.mov,109,fixation,1629,54305,54505,200,54303.33333,00:54.4,199.04,420.99,0,0,
BDL004_Goose_EyeTracking_Walk.mov,110,fixation,1644,54873.33333,54973.33333,100,54805,00:54.9,209.32,415.62,110,112,
BDL004_Goose_EyeTracking_Walk.mov,111,fixation,1649,54973.33333,55206.66667,233.333333,54971.66667,00:55.0,191.06,425.52,55,37,
BDL004_Goose_EyeTracking_Walk.mov,112,fixation,1669,55673.33333,55806.66667,133.333333,55638.33333,00:55.7,248.71,362.88,69,60,
BDL004_Goose_EyeTracking_Walk.mov,113,fixation,1690,56408.33333,56508.33333,100,56340,00:56.4,169.62,293.48,80,72,
BDL004_Goose_EyeTracking_Walk.mov,114,fixation,1735,57910,58010,100,57841.66667,00:57.9,347.45,363.84,91,87,
BDL004_Goose_EyeTracking_Walk.mov,115,fixation,1742,58143.33333,58243.33333,100,58075,00:58.1,282.66,387.56,79,82,
BDL004_Goose_EyeTracking_Walk.mov,116,fixation,1752,58476.66667,58576.66667,100,58408.33333,00:58.5,215.16,413.19,92,86,
BDL004_Goose_EyeTracking_Walk.mov,117,fixation,1757,58611.66667,58745,133.333333,58576.66667,00:58.6,235.73,396.13,83,100,
BDL004_Goose_EyeTracking_Walk.mov,118,fixation,1767,58911.66667,59111.66667,200,58910,00:59.0,308.24,348.33,71,60,
BDL004_Goose_EyeTracking_Walk.mov,119,fixation,1779,59311.66667,59511.66667,200,59310,00:59.4,205.43,424.76,10,30,
BDL004_Goose_EyeTracking_Walk.mov,120,fixation,1801,59811.66667,60513.33333,701.666667,60045,01:00.1,142.42,237,53,54,
BDL004_Goose_EyeTracking_Walk.mov,121,fixation,1815,60546.66667,60680,133.333333,60511.66667,01:00.6,138.96,283.79,71,69,
BDL004_Goose_EyeTracking_Walk.mov,122,fixation,1831,60813.33333,61515,701.666667,61045,01:01.1,149.95,256.58,69,61,
BDL004_Goose_EyeTracking_Walk.mov,123,fixation,1844,61548.33333,61648.33333,100,61480,01:01.5,160.34,321.67,73,72,
BDL004_Goose_EyeTracking_Walk.mov,124,fixation,1857,61648.33333,62381.66667,733.333333,61913.33333,01:02.0,185.32,368.43,66,67,
BDL004_Goose_EyeTracking_Walk.mov,125,fixation,1877,62650,62750,100,62581.66667,01:02.6,258.06,423.73,33,44,
BDL004_Goose_EyeTracking_Walk.mov,126,fixation,1898,63050,63751.66667,701.666667,63281.66667,01:03.3,159.34,347.53,68,63,
BDL004_Goose_EyeTracking_Walk.mov,127,fixation,1913,63818.33333,63985,166.666667,63783.33333,01:03.9,197.43,393.32,88,86,
BDL004_Goose_EyeTracking_Walk.mov,128,fixation,1922,64051.66667,64318.33333,266.666667,64083.33333,01:04.2,191.39,442.24,45,52,
BDL004_Goose_EyeTracking_Walk.mov,129,fixation,1933,64318.33333,64785,466.666667,64450,01:04.5,171.03,439.52,11,40,
