,/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
763,BDL079_Daisy_Walk_RouteP1.mov,763,fixation,11694,390266.666667,390400.0,133.333333,390265.0,00:06:30.30000,100.39,177.0,-1000.0,-1000.0,,,,pavement plant_horizontal plant_vertical plant_vertical sky,plant_vertical: 0.9166743056192135 sky: 0.06902557521312677 background: 0.01430011916765973,plant_vertical: 0.9299730307821074 sky: 0.07002696921789268,0.8277701822916667,plant_vertical:0.39726888020833334 pavement:0.2731705729166667 sky:0.09917643229166667 plant_horizontal:0.08166341145833333
764,BDL079_Daisy_Walk_RouteP1.mov,764,fixation,11697,390400.0,390500.0,100.0,390365.0,00:06:30.40000,400.6,174.28,-1000.0,-1000.0,,,,pavement plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,plant_vertical: 0.9922999358327986 background: 0.007700064167201394,plant_vertical: 1.0,0.816328125,pavement:0.20506184895833332 plant_vertical:0.50548828125 sky:0.03494791666666667 plant_horizontal:0.26995768229166667
765,BDL079_Daisy_Walk_RouteP1.mov,765,fixation,11706,390633.333333,390833.333333,200.0,390665.0,00:06:30.70000,83.03,157.18,-1000.0,-1000.0,,,,building pavement plant_horizontal plant_horizontal plant_vertical plant_vertical sky,plant_vertical: 0.8953308455447346 sky: 0.1011195048693911 background: 0.003549649585874215,plant_vertical: 0.898520277676288 sky: 0.1014797223237121,0.8821256510416666,plant_vertical:0.40052408854166666 pavement:0.29180338541666667 plant_horizontal:0.26599283854166667 sky:0.093076171875 building:0.031116536458333333
766,BDL079_Daisy_Walk_RouteP1.mov,766,fixation,11721,390900.0,391568.333333,668.333333,391166.666667,00:06:31.20200,135.11,207.09,-1000.0,-1000.0,,,,pavement pavement plant_horizontal plant_vertical plant_vertical plant_vertical sky,plant_vertical: 1.0 background: 0.0,plant_vertical: 1.0,0.843955078125,plant_vertical:0.4045052083333333 sky:0.08491536458333333 pavement:0.2974088541666667 plant_horizontal:0.13735026041666668
767,BDL079_Daisy_Walk_RouteP1.mov,767,fixation,11739,391701.666667,391968.333333,266.666667,391766.666667,00:06:31.80200,138.14,214.97,-1000.0,-1000.0,,,,pavement plant_vertical plant_vertical sky sky,plant_vertical: 1.0 background: 0.0,plant_vertical: 1.0,0.7913411458333334,plant_vertical:0.4439192708333333 pavement:0.3088151041666667 sky:0.06823567708333333
768,BDL079_Daisy_Walk_RouteP1.mov,768,fixation,11749,392068.333333,392301.666667,233.333333,392100.0,00:06:32.13500,118.48,191.82,-1000.0,-1000.0,,,,pavement plant_horizontal plant_vertical plant_vertical sky sky,plant_vertical: 0.9911999266660555 background: 0.008800073333944449,plant_vertical: 1.0,0.8097102864583333,plant_vertical:0.40263671875 sky:0.10031901041666666 pavement:0.276142578125 plant_horizontal:0.058427734375
769,BDL079_Daisy_Walk_RouteP1.mov,769,fixation,11763,392301.666667,392970.0,668.333333,392568.333333,00:06:32.60300,146.16,212.22,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical sky sky,plant_vertical: 0.37322799350030816 building: 0.6112511906763042 person: 0.015520815823387685 background: 0.0,plant_vertical: 0.37322799350030816 building: 0.6112511906763042 person: 0.015520815823387685,0.793310546875,plant_vertical:0.41123372395833335 sky:0.050166015625 plant_horizontal:0.11553385416666667 building:0.13230794270833332 pavement:0.29747395833333334 person:0.011767578125
770,BDL079_Daisy_Walk_RouteP1.mov,770,fixation,11776,393036.666667,393136.666667,100.0,393001.666667,00:06:33.03700,110.89,188.47,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 0.01973323588525489 plant_vertical: 0.4364151288141787 building: 0.020464096473597662 background: 0.5233875388269688,person: 0.041403105232892465 plant_vertical: 0.915660341192256 building: 0.042936553574851447,0.7792740885416667,person:0.025182291666666665 plant_vertical:0.4866178385416666 sky:0.038046875 building:0.20984700520833333 pavement:0.23345052083333334 plant_horizontal:0.165390625
771,BDL079_Daisy_Walk_RouteP1.mov,771,fixation,11783,393236.666667,393403.333333,166.666667,393235.0,00:06:33.27000,299.26,195.65,-1000.0,-1000.0,,,,pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky,person: 0.04134201118342653 plant_vertical: 0.08809240077000642 background: 0.870565588046567,person: 0.31940509915014165 plant_vertical: 0.6805949008498584,0.668251953125,person:0.028811848958333334 plant_vertical:0.31784505208333336 sky:0.07482096354166666 plant_horizontal:0.09457356770833333 pavement:0.18129557291666668
772,BDL079_Daisy_Walk_RouteP1.mov,772,fixation,11789,393403.333333,393636.666667,233.333333,393435.0,00:06:33.47000,65.6,146.95,-1000.0,-1000.0,,,,building pavement plant_horizontal plant_vertical plant_vertical,plant_vertical: 0.8092400770006417 background: 0.19075992299935832,plant_vertical: 1.0,0.7698111979166666,plant_vertical:0.6052213541666667 building:0.04736979166666667 plant_horizontal:0.14263997395833333 pavement:0.16350260416666668
773,BDL079_Daisy_Walk_RouteP1.mov,773,fixation,11796,393670.0,393805.0,135.0,393668.333333,00:06:33.70300,79.03,166.15,-1000.0,-1000.0,,,,plant_horizontal plant_horizontal plant_vertical sky,plant_vertical: 0.8083234026950225 background: 0.19167659730497755,plant_vertical: 1.0,0.569814453125,plant_vertical:0.39576822916666665 sky:0.0464453125 plant_horizontal:0.13601562499999997
774,BDL079_Daisy_Walk_RouteP1.mov,774,fixation,11804,393805.0,394205.0,400.0,393936.666667,00:06:33.97200,76.12,171.1,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky,plant_vertical: 0.5569713080942341 background: 0.4430286919057659,plant_vertical: 1.0,0.761982421875,plant_vertical:0.23732747395833334 person:0.10266276041666667 sky:0.06671223958333333 pavement:0.16134440104166667 plant_horizontal:0.14605794270833333 building:0.17367513020833333
775,BDL079_Daisy_Walk_RouteP1.mov,775,fixation,11815,394305.0,394471.666667,166.666667,394303.333333,00:06:34.33800,93.3,195.47,-1000.0,-1000.0,,,,building plant_horizontal plant_vertical plant_vertical plant_vertical sky,plant_vertical: 0.9779998166651389 background: 0.022000183334861124,plant_vertical: 1.0,0.678154296875,plant_vertical:0.5765169270833334 plant_horizontal:0.07888346354166667 building:0.001748046875 sky:0.08346028645833334
776,BDL079_Daisy_Walk_RouteP1.mov,776,fixation,11821,394538.333333,394638.333333,100.0,394503.333333,00:06:34.53800,61.85,163.81,-1000.0,-1000.0,,,,pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky,plant_vertical: 0.47515330936773104 plant_vertical: 0.49323324170014804 background: 0.03161344893212096,plant_vertical: 0.4906649197510645 plant_vertical: 0.5093350802489355,0.7814127604166666,plant_horizontal:0.328740234375 plant_vertical:0.505498046875 pavement:0.11650716145833333 sky:0.0029654947916666666 person:0.057454427083333336
777,BDL079_Daisy_Walk_RouteP1.mov,777,fixation,11853,395373.333333,395906.666667,533.333333,395571.666667,00:06:35.60700,115.92,188.32,-1000.0,-1000.0,,,,building building pavement plant_horizontal plant_vertical plant_vertical sky sky,building: 1.0 background: 0.0,building: 1.0,0.6978157552083334,pavement:0.39517578125 plant_vertical:0.127177734375 building:0.15566080729166665 sky:0.02880859375 plant_horizontal:0.11069986979166667
778,BDL079_Daisy_Walk_RouteP1.mov,778,fixation,11870,396173.333333,396273.333333,100.0,396138.333333,00:06:36.17300,221.32,177.82,-1000.0,-1000.0,,,,building building pavement person plant_vertical plant_vertical sky,plant_vertical: 0.3304558942541138 plant_vertical: 0.0888409315709019 building: 0.5512094236129844 background: 0.02949375056199982,plant_vertical: 0.3404984712313536 plant_vertical: 0.09154081349022515 building: 0.5679607152784212,0.8109602864583333,pavement:0.414697265625 sky:0.04642578125 plant_vertical:0.21788736979166667 person:0.08027669270833333 building:0.1274609375
779,BDL079_Daisy_Walk_RouteP1.mov,779,fixation,11878,396375.0,396575.0,200.0,396406.666667,00:06:36.44200,84.36,171.13,-1000.0,-1000.0,,,,building building pavement plant_vertical plant_vertical sky,background: 1.0,,0.6641243489583334,building:0.12583007812500002 plant_vertical:0.150185546875 pavement:0.39624348958333333 sky:0.06475260416666667
